Anno;Provincia impianto;Regione;Codice EER;Pericoloso;Descrizione EER;Attivita a destinazione;Tipo operazione;Quantita;Unita di misura
2025;AL;Piemonte;060314;NP;sali e loro soluzioni, diversi da quelli di cui alle voci 06 03 11 e 06 03 13;D8;D;1588330;kg
2025;AL;Piemonte;060503;NP;fanghi prodotti dal trattamento in loco degli effluenti, diversi da quelli di cui alla voce 06 05 02;D1;D;12040;kg
2025;AL;Piemonte;060503;NP;fanghi prodotti dal trattamento in loco degli effluenti, diversi da quelli di cui alla voce 06 05 02;D13;D;76300;kg
2025;AL;Piemonte;060503;NP;fanghi prodotti dal trattamento in loco degli effluenti, diversi da quelli di cui alla voce 06 05 02;D14;D;12440;kg
2025;AL;Piemonte;060503;NP;fanghi prodotti dal trattamento in loco degli effluenti, diversi da quelli di cui alla voce 06 05 02;R4;R;1127;kg
2025;AL;Piemonte;060602;P;rifiuti contenenti solfuri pericolosi;R5;R;334500;kg
2025;AL;Piemonte;070101;P;soluzioni acquose di lavaggio e acque madri;R6;R;25040;kg
2025;AL;Piemonte;070108;P;altri fondi e residui di reazione;R6;R;23720;kg
2025;AL;Piemonte;070210;P;altri residui di filtrazione e assorbenti esauriti;R12;R;2900;kg
2025;AL;Piemonte;070212;NP;fanghi prodotti dal trattamento in loco degli effluenti, diversi da quelli di cui alla voce 07 02 11;D10;D;76105;kg
2025;AL;Piemonte;070212;NP;fanghi prodotti dal trattamento in loco degli effluenti, diversi da quelli di cui alla voce 07 02 11;D13;D;254695;kg
2025;AL;Piemonte;070212;NP;fanghi prodotti dal trattamento in loco degli effluenti, diversi da quelli di cui alla voce 07 02 11;D15;D;10480;kg
2025;AL;Piemonte;070213;NP;rifiuti plastici;R12;R;243400;kg
2025;AL;Piemonte;070213;NP;rifiuti plastici;R13;R;21440;kg
2025;AL;Piemonte;070213;NP;rifiuti plastici;R3;R;1601766;kg
2025;AL;Piemonte;070310;P;altri residui di filtrazione e assorbenti esauriti;R12;R;3585;kg
2025;AL;Piemonte;070608;P;altri fondi e residui di reazione;R1;R;6600;kg
2025;AL;Piemonte;070608;P;altri fondi e residui di reazione;R6;R;863098;kg
2025;AL;Piemonte;070612;NP;fanghi prodotti dal trattamento in loco di effluenti, diversi da quelli di cui alla voce 07 06 11;D13;D;41600;kg
2025;AL;Piemonte;070704;P;altri solventi organici, soluzioni di lavaggio e acque madri;R1;R;779316;kg
2025;AL;Piemonte;070708;P;altri fondi e residui di reazione;R1;R;1346640;kg
